1950	2784
1951	3284
1952	3160
1953	2909
1954	3028
1955	3357
1956	3488
1957	3774
1958	4064
1959	4033
1960	3982
1961	4108
1962	4263
1963	4466
1964	4799
1965	5801
1966	6063
1967	6421
1968	7166
1969	7671
1970	8157
1971	8824
1972	8509
1973	8055
1974	8275
1975	9221
1976	9720
1977	10233
1978	9706
1979	9840
1980	11170
1981	11247
1982	11817
1983	11515
1984	11793
1985	12195
1986	13087
1987	13020
1988	12875
1989	13479
1990	14240
1991	13915
1992	13788
1993	13664
1994	12670
1995	12982
1996	13294
1997	13554
1998	13344
1999	13418
2000	13694
2001	13370
2002	13663
2003	13997
2004	13885
2005	13753
2006	13490
2007	14280
2008	14938
2009	15101
2010	14605
2011	14988
2012	14734
2013	14603
2014	14890
2015	15342
